---------------------------------------
fault injection points:
Location:  tb_network_4x4:NoC:R_0:RX_L(0) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_0:RX_S(18) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_0:RX_E(3) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_1:RX_L(2) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_1:RX_S(29) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_1:RX_W(22) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_1:RX_E(29) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_2:RX_L(12) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_2:RX_S(30) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_2:RX_W(26) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_2:RX_E(1) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_3:RX_L(6) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_3:RX_S(22) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_3:RX_W(10) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_4:RX_L(6) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_4:RX_N(0) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_4:RX_S(20) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_4:RX_E(31) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_5:RX_L(15) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_5:RX_N(26) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_5:RX_S(14) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_5:RX_W(22) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_5:RX_E(16) 	width:  32 	fault_type:      T 	MTBF:  111111 	std deviation:  11112 	shutdown time None
Location:  tb_network_4x4:NoC:R_6:RX_L(23) 	width:  32 	fault_type:      T 	MTBF:  100000 	std deviation:  10001 	shutdown time None
Location:  tb_network_4x4:NoC:R_6:RX_N(21) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
Location:  tb_network_4x4:NoC:R_6:RX_S(9) 	width:  32 	fault_type:      T 	MTBF:  90909 	std deviation:  9091 	shutdown time None
